observer,auc,sigma,tau_r,delay,obs_window,v_min,collapsed,recovered,t_return
fast_observer,0.5,2.0,12.0,0.0,160.0,0.6404886938740342,False,True,69.5
fast_observer,0.5,2.3181818181818183,12.0,0.0,160.0,0.6546648913747573,False,True,69.55
fast_observer,0.5,2.6363636363636362,12.0,0.0,160.0,0.6677030557341693,False,True,69.65
fast_observer,0.5,2.9545454545454546,12.0,0.0,160.0,0.6797478757195975,False,True,69.7
fast_observer,0.5,3.2727272727272725,12.0,0.0,160.0,0.6909280411386655,False,True,69.8
fast_observer,0.5,3.590909090909091,12.0,0.0,160.0,0.7013390653420917,False,True,69.9
fast_observer,0.5,3.909090909090909,12.0,0.0,160.0,0.7110641478424536,False,True,70.0
fast_observer,0.5,4.227272727272727,12.0,0.0,160.0,0.7201769138367149,False,True,70.10000000000001
fast_observer,0.5,4.545454545454545,12.0,0.0,160.0,0.728737762193822,False,True,70.2
fast_observer,0.5,4.863636363636363,12.0,0.0,160.0,0.7367975894748049,False,True,70.35000000000001
fast_observer,0.5,5.181818181818182,12.0,0.0,160.0,0.7444005324300492,False,True,70.45
fast_observer,0.5,5.5,12.0,0.0,160.0,0.7515866179014429,False,True,70.60000000000001
fast_observer,0.5,5.818181818181818,12.0,0.0,160.0,0.7583917055544949,False,True,70.75
fast_observer,0.5,6.136363636363637,12.0,0.0,160.0,0.7648435030534403,False,True,70.9
fast_observer,0.5,6.454545454545454,12.0,0.0,160.0,0.7709720737834539,False,True,71.05
fast_observer,0.5,6.7727272727272725,12.0,0.0,160.0,0.7768007530533444,False,True,71.2
fast_observer,0.5,7.090909090909091,12.0,0.0,160.0,0.782351098383297,False,True,71.35000000000001
fast_observer,0.5,7.409090909090909,12.0,0.0,160.0,0.7876428911458676,False,True,71.5
fast_observer,0.5,7.7272727272727275,12.0,0.0,160.0,0.7926942133610768,False,True,71.65
fast_observer,0.5,8.045454545454545,12.0,0.0,160.0,0.7975215618178187,False,True,71.8
fast_observer,0.5,8.363636363636363,12.0,0.0,160.0,0.80213879833832,False,True,71.95
fast_observer,0.5,8.681818181818182,12.0,0.0,160.0,0.8065599703295511,False,True,72.05
fast_observer,0.5,9.0,12.0,0.0,160.0,0.8107967894197133,False,True,72.2
fast_observer,0.5,9.318181818181818,12.0,0.0,160.0,0.8148611452474781,False,True,72.3
fast_observer,0.5,9.636363636363637,12.0,0.0,160.0,0.8187629655899358,False,True,72.45
fast_observer,0.5,9.954545454545453,12.0,0.0,160.0,0.8225114182199484,False,True,72.55
fast_observer,0.5,10.272727272727273,12.0,0.0,160.0,0.8261157074294965,False,True,72.60000000000001
fast_observer,0.5,10.59090909090909,12.0,0.0,160.0,0.8295838721278992,False,True,72.7
fast_observer,0.5,10.909090909090908,12.0,0.0,160.0,0.8329233972264092,False,True,72.8
fast_observer,0.5,11.227272727272727,12.0,0.0,160.0,0.8361410814212397,False,True,72.85000000000001
fast_observer,0.5,11.545454545454545,12.0,0.0,160.0,0.8392433139411676,False,True,73.10000000000001
fast_observer,0.5,11.863636363636363,12.0,0.0,160.0,0.8422363502543391,False,True,73.75
fast_observer,0.5,12.181818181818182,12.0,0.0,160.0,0.8451258448770359,False,True,74.4
fast_observer,0.5,12.5,12.0,0.0,160.0,0.8479165753359564,False,True,75.05
fast_observer,0.5,12.818181818181818,12.0,0.0,160.0,0.8506137715684815,False,True,75.65
fast_observer,0.5,13.136363636363637,12.0,0.0,160.0,0.8532218974281158,False,True,76.3
fast_observer,0.5,13.454545454545455,12.0,0.0,160.0,0.8557451473772899,False,True,76.95
fast_observer,0.5,13.772727272727273,12.0,0.0,160.0,0.8581875639820628,False,True,77.55000000000001
fast_observer,0.5,14.09090909090909,12.0,0.0,160.0,0.8605530207120516,False,True,78.2
fast_observer,0.5,14.409090909090908,12.0,0.0,160.0,0.8628446899210427,False,True,78.85000000000001
fast_observer,0.5,14.727272727272727,12.0,0.0,160.0,0.8650662433851417,False,True,79.5
fast_observer,0.5,15.045454545454545,12.0,0.0,160.0,0.8672207402632208,False,True,80.10000000000001
fast_observer,0.5,15.363636363636363,12.0,0.0,160.0,0.869310891428998,False,True,80.75
