observer,horizon_start,horizon_end,horizon_duration
fast_observer,41.5,51.95,10.450000000000003
fast_observer,73.9,91.05000000000001,17.150000000000006
fast_observer,107.95,128.05,20.10000000000001
fast_observer,142.25,164.65,22.400000000000006
fast_observer,176.65,201.15,24.5
fast_observer,211.05,237.5,26.44999999999999
medium_observer,43.150000000000006,57.7,14.549999999999997
medium_observer,74.5,99.85000000000001,25.35000000000001
medium_observer,107.5,249.10000000000002,141.60000000000002
slow_observer,44.95,63.5,18.549999999999997
slow_observer,75.10000000000001,261.90000000000003,186.8
